store_and_fwd_flag,mta_tax,total_amount,extra,ratecodeid,fare_amount,trip_distance,lpep_dropoff_datetime,pickup_longitude,pickup_latitude,vendorid,dropoff_longitude,passenger_count,tolls_amount,trip_type,payment_type,dropoff_latitude,lpep_pickup_datetime,improvement_surcharge,tip_amount
N,0.5,26.62,0.5,1,20,5.74,2016-01-01T00:42:55.000,-73.944816589355469,40.828277587890625,2,-73.867393493652344,5,0,1,1,40.839714050292969,2016-01-01T00:24:01.000,0.3,5.32
N,0.5,13.8,0.5,1,12.5,2.80,2016-01-01T00:42:43.000,-73.984474182128906,40.687469482421875,2,-73.9383544921875,1,0,1,2,40.683113098144531,2016-01-01T00:27:15.000,0.3,0
N,0.5,12.8,0.5,1,11.5,2.42,2016-01-01T00:42:59.000,-73.905059814453125,40.872802734375,2,-73.897171020507813,1,0,1,2,40.862648010253906,2016-01-01T00:25:30.000,0.3,0
N,0.5,5.3,0.5,1,4,0.41,2016-01-02T00:38:57.000,-73.896339416503906,40.816143035888672,2,-73.891670227050781,1,0,1,2,40.820690155029297,2016-01-01T00:40:36.000,0.3,0
N,0.5,15.3,0.5,1,14,3.94,2016-01-01T00:42:39.000,-73.924171447753906,40.690364837646484,2,-73.869285583496094,1,0,1,2,40.683506011962891,2016-01-01T00:26:56.000,0.3,0
N,0.5,10.3,0.5,1,9,1.66,2016-01-01T00:42:20.000,-73.905715942382813,40.861968994140625,2,-73.922019958496094,1,0,1,2,40.849159240722656,2016-01-01T00:31:34.000,0.3,0
N,0.5,21.3,0.5,1,20,6.45,2016-01-01T00:42:12.000,-73.911689758300781,40.775421142578125,2,-73.82330322265625,1,0,1,2,40.755332946777344,2016-01-01T00:26:18.000,0.3,0
N,0.5,30.36,0.5,1,24,6.85,2016-01-01T00:43:04.000,-73.989860534667969,40.668857574462891,2,-73.987205505371094,1,0,1,1,40.725170135498047,2016-01-01T00:19:47.000,0.3,5.06
N,0.5,9.36,0.5,1,6.5,1.12,2016-01-01T00:42:53.000,-73.966400146484375,40.683414459228516,2,-73.955940246582031,5,0,1,1,40.674022674560547,2016-01-01T00:35:29.000,0.3,1.56
N,0.5,10.79,0.5,1,7,1.37,2016-01-01T00:42:51.000,-73.912895202636719,40.766399383544922,2,-73.924819946289063,1,0,1,1,40.762840270996094,2016-01-01T00:35:11.000,0.3,2.49
N,0.5,9.75,0.5,1,6.5,1.08,2016-01-01T00:43:04.000,-73.993034362792969,40.697467803955078,2,-73.994758605957031,1,0,1,1,40.684528350830078,2016-01-01T00:36:41.000,0.3,1.95
N,0.5,19.3,0.5,1,18,4.51,2016-01-01T00:42:12.000,-73.979042053222656,40.693473815917969,2,-73.914825439453125,1,0,1,2,40.670162200927734,2016-01-01T00:19:20.000,0.3,0
N,0.5,10.3,0.5,1,9,1.80,2016-01-01T00:42:48.000,-73.896385192871094,40.746448516845703,2,-73.871864318847656,1,0,1,2,40.753437042236328,2016-01-01T00:33:37.000,0.3,0
N,0.5,21,0.5,1,15.5,4.56,2016-01-01T00:42:44.000,-73.949745178222656,40.680419921875,2,-73.986892700195313,1,0,1,1,40.720840454101563,2016-01-01T00:27:24.000,0.3,4.2
N,0.5,13.56,0.5,1,10,2.97,2016-01-01T00:42:24.000,-73.994865417480469,40.667423248291016,2,-73.991500854492187,1,0,1,1,40.700733184814453,2016-01-01T00:36:31.000,0.3,2.26
N,0.5,13.3,0.5,1,12,3.41,2016-01-01T00:42:17.000,-73.939064025878906,40.795345306396484,2,-73.931503295898438,1,0,1,2,40.830951690673828,2016-01-01T00:32:21.000,0.3,0
N,0.5,10.56,0.5,1,7.5,1.80,2016-01-01T00:43:11.000,-73.831741333007813,40.715076446533203,2,-73.821769714355469,1,0,1,1,40.719760894775391,2016-01-01T00:37:53.000,0.3,1.76
N,0.5,6.3,0.5,1,5,0.95,2016-01-01T00:42:44.000,-74.001869201660156,40.622173309326172,2,-74.006233215332031,2,0,1,2,40.629810333251953,2016-01-01T00:39:15.000,0.3,0
N,0.5,6.3,0.5,1,5,0.71,2016-01-01T00:42:27.000,-73.990333557128906,40.693271636962891,2,-73.99346923828125,1,0,1,2,40.702568054199219,2016-01-01T00:38:54.000,0.3,0
N,0.5,15.96,0.5,1,12,2.56,2016-01-01T00:43:15.000,-73.982398986816406,40.675525665283203,2,-73.952827453613281,1,0,1,1,40.689708709716797,2016-01-01T00:27:38.000,0.3,2.66
N,0.5,22.56,0.5,1,17.5,4.65,2016-01-01T00:43:15.000,-73.984161376953125,40.679496765136719,2,-73.965957641601562,5,0,1,1,40.712947845458984,2016-01-01T00:25:25.000,0.3,3.76
N,0.5,43.61,0.5,1,29.5,10.13,2016-01-01T00:41:47.000,-73.849174499511719,40.723625183105469,2,-73.977912902832031,1,5.54,1,1,40.746017456054688,2016-01-01T00:23:25.000,0.3,7.27
N,0.5,9.36,0.5,1,6.5,1.18,2016-01-01T00:42:58.000,-73.969306945800781,40.689525604248047,2,-73.952072143554688,1,0,1,1,40.692886352539063,2016-01-01T00:36:13.000,0.3,1.56
N,0.5,22.3,0.5,1,21,6.55,2016-01-01T00:43:13.000,-73.95068359375,40.723499298095703,2,-73.915534973144531,2,0,1,2,40.764240264892578,2016-01-01T00:25:54.000,0.3,0
N,0.5,8.3,0.5,1,7,1.31,2016-01-01T00:42:18.000,-73.927200317382813,40.762870788574219,2,-73.934501647949219,1,0,1,2,40.776725769042969,2016-01-01T00:35:35.000,0.3,0
N,0.5,4.8,0.5,1,3.5,0.35,2016-01-01T00:43:12.000,-73.908401489257813,40.742172241210937,2,-73.914802551269531,1,0,1,2,40.742931365966797,2016-01-01T00:41:23.000,0.3,0
N,0.5,18.8,0.5,1,17.5,5.56,2016-01-01T00:42:40.000,-73.914108276367188,40.775161743164062,2,-73.952186584472656,1,0,1,2,40.781265258789063,2016-01-01T00:30:19.000,0.3,0
N,0.5,17.8,0.5,1,16.5,3.99,2016-01-01T00:43:30.000,-73.958274841308594,40.721523284912109,2,-73.952041625976563,1,0,1,2,40.674461364746094,2016-01-01T00:20:42.000,0.3,0
N,0.5,12.8,0.5,1,11.5,2.53,2016-01-01T00:43:04.000,-73.978759765625,40.689838409423828,2,-73.937507629394531,1,0,1,2,40.692996978759766,2016-01-01T00:29:23.000,0.3,0
N,0.5,6.8,0.5,1,5.5,0.94,2016-01-01T00:42:58.000,-73.963874816894531,40.808017730712891,2,-73.954948425292969,6,0,1,2,40.820198059082031,2016-01-01T00:38:50.000,0.3,0
N,0.5,8.16,0.5,1,5.5,0.79,2016-01-01T00:43:20.000,-73.942070007324219,40.822677612304688,2,-73.949508666992188,1,0,1,1,40.829303741455078,2016-01-01T00:38:38.000,0.3,1.36
N,0.5,6.3,0.5,1,5,0.99,2016-01-01T00:43:22.000,-73.902114868164063,40.867111206054687,2,-73.909896850585937,5,0,1,1,40.860008239746094,2016-01-01T00:39:35.000,0.3,0
N,0.5,19.56,0.5,1,15,4.17,2016-01-01T00:43:18.000,-73.922767639160156,40.842308044433594,2,-73.941917419433594,1,0,1,1,40.791305541992188,2016-01-01T00:28:40.000,0.3,3.26
N,0.5,10.3,0.5,1,9,1.80,2016-01-01T00:43:03.000,-73.944168090820313,40.814605712890625,2,-73.9237060546875,1,0,1,2,40.825016021728516,2016-01-01T00:33:36.000,0.3,0
N,0.5,8.8,0.5,1,7.5,1.36,2016-01-01T00:42:51.000,-73.844268798828125,40.721111297607422,2,-73.857978820800781,1,0,1,2,40.716190338134766,2016-01-01T00:34:04.000,0.3,0
N,0.5,5.3,0.5,1,4,0.52,2016-01-01T00:42:27.000,-73.921005249023438,40.756633758544922,2,-73.927864074707031,1,0,1,2,40.755706787109375,2016-01-01T00:39:37.000,0.3,0
N,0.5,27.3,0.5,1,26,7.72,2016-01-01T00:43:08.000,-73.9578857421875,40.721908569335938,2,-73.951019287109375,1,0,1,2,40.778358459472656,2016-01-01T00:13:43.000,0.3,0
N,0.5,12.36,0.5,1,9,2.02,2016-01-01T00:43:20.000,-73.942672729492187,40.692153930664062,2,-73.935531616210937,1,0,1,1,40.671726226806641,2016-01-01T00:33:36.000,0.3,2.06
N,0.5,19.3,0.5,1,18,4.73,2016-01-01T00:40:55.000,-73.964088439941406,40.716026306152344,2,-73.921272277832031,1,0,1,2,40.745185852050781,2016-01-01T00:19:07.000,0.3,0
N,0.5,13.8,0.5,1,12.5,2.91,2016-01-02T00:23:03.000,-73.943374633789063,40.836017608642578,2,-73.924354553222656,1,0,1,2,40.845161437988281,2016-01-01T00:29:31.000,0.3,0
N,0.5,10.3,0.5,1,9,2.17,2016-01-01T00:43:11.000,-73.862899780273438,40.750076293945312,2,-73.866622924804688,1,0,1,2,40.767288208007813,2016-01-01T00:33:07.000,0.3,0
N,0.5,4.8,0.5,1,3.5,0.38,2016-01-01T00:42:51.000,-73.948417663574219,40.794761657714844,2,-73.944198608398437,1,0,1,2,40.795143127441406,2016-01-01T00:41:11.000,0.3,0
N,0,19,0,5,19,0.07,2016-01-01T00:43:25.000,-73.896881103515625,40.851589202880859,2,-73.893882751464844,1,0,2,2,40.856578826904297,2016-01-01T00:42:00.000,0,0
N,0.5,21.36,0.5,1,16.5,3.68,2016-01-01T00:43:22.000,-73.968559265136719,40.673145294189453,2,-73.906143188476562,1,0,1,1,40.666648864746094,2016-01-01T00:23:13.000,0.3,3.56
N,0.5,7.8,0.5,1,6.5,1.15,2016-01-01T00:43:33.000,-73.949668884277344,40.802238464355469,2,-73.957412719726563,1,0,1,2,40.812908172607422,2016-01-01T00:36:32.000,0.3,0
N,0.5,15.8,0.5,1,14.5,3.66,2016-01-01T00:43:11.000,-73.988777160644531,40.690895080566406,2,-73.996437072753906,2,0,1,2,40.729816436767578,2016-01-01T00:28:24.000,0.3,0
N,0.5,6.8,0.5,1,5.5,0.89,2016-01-01T00:43:33.000,-73.909507751464844,40.775306701660156,2,-73.913558959960938,1,0,1,1,40.765750885009766,2016-01-01T00:38:56.000,0.3,0
N,0.5,8.76,0.5,1,6,1.22,2016-01-01T00:43:11.000,-73.958259582519531,40.810802459716797,2,-73.945289611816406,1,0,1,1,40.820953369140625,2016-01-01T00:38:36.000,0.3,1.46
N,0.5,20.3,0.5,1,19,5.87,2016-01-01T00:43:31.000,-73.977546691894531,40.670814514160156,2,-74.031333923339844,1,0,1,1,40.622966766357422,2016-01-01T00:28:38.000,0.3,0
N,0.5,19.12,0.5,1,14,2.99,2016-01-01T00:43:30.000,-73.962982177734375,40.719261169433594,2,-73.927268981933594,1,0,1,1,40.699039459228516,2016-01-01T00:24:29.000,0.3,3.82
N,0.5,10.3,0.5,1,9,1.67,2016-01-01T00:44:01.000,-73.957145690917969,40.688381195068359,2,-73.946578979492187,1,0,1,2,40.695686340332031,2016-01-01T00:33:33.000,0.3,0
N,0.5,5.3,0.5,1,4,0.56,2016-01-01T00:43:03.000,-73.862693786621094,40.757221221923828,2,-73.862075805664063,2,0,1,2,40.750541687011719,2016-01-01T00:39:41.000,0.3,0
N,0.5,22.8,0.5,1,21.5,6.58,2016-01-01T00:43:03.000,-73.940162658691406,40.813831329345703,2,-73.995635986328125,1,0,1,2,40.759845733642578,2016-01-01T00:23:20.000,0.3,0
N,0.5,14.69,0.5,1,10,2.49,2016-01-01T00:43:22.000,-73.98309326171875,40.664955139160156,2,-74.004623413085938,2,0,1,1,40.643753051757813,2016-01-01T00:34:36.000,0.3,3.39
N,0.5,12.88,0.5,1,9,1.74,2016-01-01T00:43:34.000,-73.973091125488281,40.678054809570313,2,-73.996002197265625,1,0,1,1,40.690765380859375,2016-01-01T00:34:05.000,0.3,2.58
N,0.5,21.36,0.5,1,16.5,4.21,2016-01-01T00:43:41.000,-73.957839965820312,40.721935272216797,2,-73.916824340820312,1,0,1,1,40.757602691650391,2016-01-01T00:25:35.000,0.3,3.56
N,0,12,0,5,12,4.29,2016-01-01T00:43:48.000,-73.903663635253906,40.855316162109375,2,-73.837959289550781,3,0,2,2,40.862136840820312,2016-01-01T00:29:03.000,0,0
N,0.5,12.96,0.5,1,9.5,1.89,2016-01-01T00:43:31.000,-73.891822814941406,40.747020721435547,2,-73.876266479492188,1,0,1,1,40.73248291015625,2016-01-01T00:32:11.000,0.3,2.16
N,0.5,14.3,0.5,1,13,3.40,2016-01-01T00:43:58.000,-73.988578796386719,40.696403503417969,2,-73.961006164550781,1,0,1,2,40.719936370849609,2016-01-01T00:31:04.000,0.3,0
N,0.5,29.16,0.5,1,23,6.69,2016-01-01T00:42:48.000,-73.955223083496094,40.720169067382813,2,-74.000885009765625,1,0,1,1,40.729576110839844,2016-01-01T00:19:02.000,0.3,4.86
N,0.5,15.3,0.5,1,14,4.31,2016-01-01T00:43:20.000,-73.880104064941406,40.879814147949219,2,-73.874603271484375,1,0,1,2,40.829765319824219,2016-01-01T00:34:49.000,0.3,0
N,0.5,9.8,0.5,1,8.5,2.12,2016-01-01T00:43:20.000,-73.916358947753906,40.764625549316406,2,-73.935523986816406,1,0,1,2,40.751556396484375,2016-01-01T00:34:23.000,0.3,0
N,0.5,12.96,0.5,1,9.5,2.00,2016-01-01T00:43:22.000,-73.963966369628906,40.691978454589844,2,-73.956344604492188,1,0,1,1,40.670146942138672,2016-01-01T00:31:47.000,0.3,2.16
N,0.5,9.3,0.5,1,8,1.52,2016-01-01T00:43:05.000,-73.986213684082031,40.677318572998047,2,-73.986351013183594,1,0,1,1,40.660709381103516,2016-01-01T00:34:45.000,0.3,0
N,0.5,17.76,0.5,1,13.5,2.72,2016-01-01T00:43:45.000,-73.956558227539063,40.716953277587891,2,-73.927734375,1,0,1,1,40.69775390625,2016-01-01T00:26:08.000,0.3,2.96
N,0.5,14.8,0.5,1,13.5,3.58,2016-01-01T00:43:55.000,-73.951026916503906,40.805500030517578,2,-73.970474243164063,1,0,1,2,40.764686584472656,2016-01-01T00:29:41.000,0.3,0
N,0.5,12.36,0.5,1,9,2.03,2016-01-01T00:43:33.000,-73.99188232421875,40.702663421630859,2,-73.998420715332031,5,0,1,1,40.681663513183594,2016-01-01T00:34:13.000,0.3,2.06
N,0.5,8.8,0.5,1,7.5,1.25,2016-01-01T23:33:26.000,-73.844314575195313,40.721378326416016,2,-73.8292236328125,1,0,1,2,40.709758758544922,2016-01-01T00:36:32.000,0.3,0
N,0.5,19.3,0.5,1,18,4.11,2016-01-01T00:43:07.000,-73.989067077636719,40.688713073730469,2,-74.015701293945313,1,0,1,2,40.643611907958984,2016-01-01T00:20:28.000,0.3,0
N,0.5,8.3,0.5,1,7,1.53,2016-01-01T00:42:56.000,-73.902374267578125,40.775867462158203,2,-73.918304443359375,1,0,1,2,40.770778656005859,2016-01-01T00:34:51.000,0.3,0
N,0.5,11.44,0.5,1,7.5,1.41,2016-01-01T00:43:51.000,-73.95880126953125,40.716819763183594,2,-73.940376281738281,1,0,1,1,40.719524383544922,2016-01-01T00:34:20.000,0.3,2.64
N,0.5,12.8,0.5,1,11.5,2.59,2016-01-01T00:43:31.000,-73.844673156738281,40.721534729003906,2,-73.8507080078125,1,0,1,2,40.73492431640625,2016-01-01T00:28:04.000,0.3,0
N,0.5,10.3,0.5,1,9,1.75,2016-01-01T00:43:53.000,-73.940109252929687,40.820178985595703,2,-73.961112976074219,1,0,1,1,40.811042785644531,2016-01-01T00:33:26.000,0.3,0
N,0.5,21.3,0.5,1,20,5.70,2016-01-01T00:43:32.000,-73.993453979492188,40.682338714599609,2,-73.982597351074219,1,0,1,2,40.722583770751953,2016-01-01T00:23:27.000,0.3,0
N,0.5,15.3,0.5,1,14,3.71,2016-01-01T00:43:27.000,-73.920433044433594,40.768173217773438,2,-73.935638427734375,1,0,1,2,40.736835479736328,2016-01-01T00:28:30.000,0.3,0
N,0.5,11.8,0.5,1,10.5,1.87,2016-01-01T00:43:27.000,-73.918380737304688,40.830181121826172,2,-73.944221496582031,1,0,1,2,40.836193084716797,2016-01-01T00:31:29.000,0.3,0
N,0.5,8.3,0.5,1,7,1.37,2016-01-01T00:43:37.000,-73.917579650878906,40.758296966552734,2,-73.9033203125,5,0,1,2,40.745815277099609,2016-01-01T00:36:14.000,0.3,0
N,0.5,9.3,0.5,1,8,1.44,2016-01-01T00:43:59.000,-73.878120422363281,40.748283386230469,2,-73.900245666503906,1,0,1,2,40.74554443359375,2016-01-01T00:34:25.000,0.3,0
N,0.5,8.8,0.5,1,7.5,1.27,2016-01-01T00:42:49.000,-73.953941345214844,40.80645751953125,2,-73.942138671875,1,0,1,2,40.809757232666016,2016-01-01T00:33:38.000,0.3,0
N,0.5,8.76,0.5,1,6,1.01,2016-01-01T00:43:54.000,-73.924293518066406,40.756221771240234,2,-73.92767333984375,1,0,1,1,40.766395568847656,2016-01-01T00:37:55.000,0.3,1.46
N,0.5,6.8,0.5,1,5.5,0.99,2016-01-01T00:43:39.000,-73.883003234863281,40.742992401123047,2,-73.892684936523438,1,0,1,2,40.746757507324219,2016-01-01T00:38:54.000,0.3,0
N,0.5,20.16,0.5,1,15.5,4.66,2016-01-01T00:43:44.000,-73.995742797851563,40.690666198730469,2,-73.95709228515625,1,0,1,1,40.711475372314453,2016-01-01T00:33:27.000,0.3,3.36
N,0.5,6.3,0.5,1,5,0.99,2016-01-01T00:43:35.000,-73.891571044921875,40.746738433837891,2,-73.904464721679688,1,0,1,2,40.745151519775391,2016-01-01T00:39:35.000,0.3,0
N,0.5,30.8,0.5,1,29.5,10.35,2016-01-01T00:43:31.000,-73.955307006835938,40.721035003662109,2,-73.80169677734375,1,0,1,1,40.725475311279297,2016-01-01T00:23:07.000,0.3,0
N,0.5,10.3,0.5,1,9,2.35,2016-01-01T00:43:29.000,-73.9921875,40.662517547607422,2,-73.974388122558594,5,0,1,2,40.638439178466797,2016-01-01T00:36:54.000,0.3,0
N,0.5,8.8,0.5,1,7.5,1.53,2016-01-01T00:43:44.000,-73.943748474121094,40.827953338623047,2,-73.93695068359375,1,0,1,2,40.844844818115234,2016-01-01T00:35:44.000,0.3,0
N,0.5,32.25,0.5,1,24.5,7.61,2016-01-01T00:43:51.000,-73.951828002929687,40.725532531738281,2,-73.959487915039063,1,0,1,1,40.801364898681641,2016-01-01T00:20:33.000,0.3,6.45
N,0.5,52.44,0.5,1,33.5,9.93,2016-01-01T00:43:47.000,-73.9847412109375,40.6710205078125,2,-73.976806640625,2,5.54,1,1,40.782478332519531,2016-01-01T00:07:58.000,0.3,12.1
N,0.5,13.8,0.5,1,12.5,2.58,2016-01-01T00:43:15.000,-73.935714721679688,40.827701568603516,2,-73.898918151855469,2,0,1,2,40.832149505615234,2016-01-01T00:26:10.000,0.3,0
N,0.5,15.8,0.5,1,14.5,3.85,2016-01-01T00:43:38.000,-73.991081237792969,40.701026916503906,2,-73.958694458007812,1,0,1,2,40.716903686523438,2016-01-01T00:29:53.000,0.3,0
N,0.5,21.8,0.5,1,20.5,5.21,2016-01-01T00:43:26.000,-73.951644897460937,40.71484375,2,-73.967918395996094,1,0,1,2,40.755405426025391,2016-01-01T00:18:22.000,0.3,0
N,0.5,8.3,0.5,1,7,1.48,2016-01-01T00:43:28.000,-73.953460693359375,40.681301116943359,2,-73.975372314453125,1,0,1,2,40.686687469482422,2016-01-01T00:36:53.000,0.3,0
N,0.5,18.8,0.5,1,17.5,5.67,2016-01-01T00:43:42.000,-73.914909362792969,40.842441558837891,2,-73.944816589355469,1,0,1,1,40.787326812744141,2016-01-01T00:30:11.000,0.3,0
N,0.5,3.8,0.5,1,2.5,0.00,2016-01-01T00:44:00.000,-73.998046875,40.688884735107422,2,-73.996734619140625,1,0,1,2,40.688594818115234,2016-01-01T00:43:03.000,0.3,0
N,0.5,5.8,0.5,1,4.5,0.89,2016-01-01T00:43:38.000,-73.912994384765625,40.774211883544922,2,-73.902320861816406,1,0,1,2,40.775928497314453,2016-01-01T00:40:53.000,0.3,0
N,0.5,18.3,0.5,1,17,5.52,2016-01-01T00:44:15.000,-73.966522216796875,40.804244995117187,2,-73.921371459960938,1,0,1,2,40.867603302001953,2016-01-01T00:32:16.000,0.3,0
N,0.5,5.3,0.5,1,4,0.40,2016-01-01T00:43:44.000,-73.952278137207031,40.803352355957031,2,-73.951408386230469,1,0,1,2,40.809761047363281,2016-01-01T00:40:41.000,0.3,0
N,0.5,12.3,0.5,1,11,2.48,2016-01-01T00:43:27.000,-73.903457641601563,40.745315551757813,2,-73.900260925292969,1,0,1,2,40.717617034912109,2016-01-01T00:30:38.000,0.3,0
N,0.5,14.8,0.5,1,13.5,3.66,2016-01-01T00:43:53.000,-73.906585693359375,40.831352233886719,2,-73.948318481445312,6,0,1,1,40.793117523193359,2016-01-01T00:29:27.000,0.3,0
N,0.5,27.96,0.5,1,22,6.74,2016-01-01T00:43:46.000,-73.944908142089844,40.70794677734375,2,-73.906471252441406,1,0,1,1,40.771408081054687,2016-01-01T00:25:12.000,0.3,4.66
N,0.5,9.3,0.5,1,8,2.18,2016-01-01T00:43:50.000,-73.938240051269531,40.796489715576172,2,-73.958084106445313,1,0,1,2,40.769203186035156,2016-01-01T00:37:40.000,0.3,0
N,0.5,9.3,0.5,1,8,1.55,2016-01-01T00:43:50.000,-73.922370910644531,40.743564605712891,2,-73.898811340332031,2,0,1,2,40.743488311767578,2016-01-01T00:34:22.000,0.3,0
N,0.5,8.8,0.5,1,7.5,1.37,2016-01-01T00:43:25.000,-73.890914916992188,40.746551513671875,2,-73.887931823730469,1,0,1,2,40.759193420410156,2016-01-01T00:35:55.000,0.3,0
N,0.5,20.76,0.5,1,16,3.38,2016-01-01T00:44:10.000,-73.986785888671875,40.691421508789063,2,-73.960548400878906,1,0,1,1,40.653282165527344,2016-01-01T00:23:10.000,0.3,3.46
N,0.5,9.8,0.5,1,8.5,1.77,2016-01-01T00:44:17.000,-73.974891662597656,40.686515808105469,2,-73.951934814453125,1,0,1,2,40.695018768310547,2016-01-01T00:34:45.000,0.3,0
N,0.5,9.8,0.5,1,8.5,1.61,2016-01-01T00:43:16.000,-73.968223571777344,40.693248748779297,2,-73.985130310058594,1,0,1,2,40.682308197021484,2016-01-01T00:33:44.000,0.3,0
N,0.5,4.8,0.5,1,3.5,0.42,2016-01-01T00:44:05.000,-73.855995178222656,40.751609802246094,2,-73.863441467285156,1,0,1,2,40.749835968017578,2016-01-01T00:41:30.000,0.3,0
N,0.5,17.16,0.5,1,13,2.73,2016-01-01T00:43:46.000,-73.932563781738281,40.800006866455078,2,-73.946022033691406,5,0,1,1,40.827320098876953,2016-01-01T00:27:25.000,0.3,2.86
N,0.5,21.8,0.5,1,20.5,5.26,2016-01-01T00:42:41.000,-73.95758056640625,40.719581604003906,2,-73.976181030273438,1,0,1,2,40.669460296630859,2016-01-01T00:18:18.000,0.3,0
N,0.5,7.8,0.5,1,6.5,1.30,2016-01-01T00:43:28.000,-73.954521179199219,40.663684844970703,2,-73.961013793945313,1,0,1,2,40.650554656982422,2016-01-01T00:36:58.000,0.3,0
N,0.5,8.3,0.5,1,7,1.24,2016-01-01T00:44:14.000,-73.937004089355469,40.802131652832031,2,-73.955169677734375,1,0,1,1,40.804756164550781,2016-01-01T00:36:07.000,0.3,0
N,0.5,8.76,0.5,1,6,0.95,2016-01-01T00:44:07.000,-73.956275939941406,40.675022125244141,2,-73.949745178222656,2,0,1,1,40.677761077880859,2016-01-01T00:38:30.000,0.3,1.46
N,0.5,10.3,0.5,1,9,2.02,2016-01-01T00:43:46.000,-73.923126220703125,40.817577362060547,2,-73.942863464355469,1,0,1,2,40.821521759033203,2016-01-01T00:33:46.000,0.3,0
N,0.5,10.79,0.5,1,7,1.37,2016-01-01T00:43:56.000,-73.977989196777344,40.673896789550781,2,-73.958930969238281,1,0,1,1,40.677986145019531,2016-01-01T00:36:46.000,0.3,2.49
N,0.5,5.3,0.5,1,4,0.50,2016-01-01T00:34:50.000,-73.950286865234375,40.828910827636719,2,-73.944877624511719,1,0,1,2,40.833896636962891,2016-01-01T00:31:12.000,0.3,0
N,0.5,15.36,0.5,1,11.5,2.84,2016-01-01T00:44:19.000,-73.927406311035156,40.759571075439453,2,-73.958160400390625,1,0,1,1,40.760543823242188,2016-01-01T00:33:33.000,0.3,2.56
N,0.5,28.3,0.5,1,27,8.57,2016-01-01T00:44:10.000,-74.001457214355469,40.65704345703125,2,-73.990806579589844,1,0,1,2,40.597393035888672,2016-01-01T00:21:27.000,0.3,0
N,0.5,11.16,0.5,1,8,1.73,2016-01-01T00:44:03.000,-73.954177856445313,40.806064605712891,2,-73.942092895507812,1,0,1,1,40.828914642333984,2016-01-01T00:36:12.000,0.3,1.86
N,0.5,15.3,0.5,1,12,2.82,2016-01-01T00:44:30.000,-73.867477416992188,40.73468017578125,2,-73.895469665527344,1,0,1,1,40.712554931640625,2016-01-01T00:31:35.000,0.3,2
N,0.5,6.8,0.5,1,5.5,1.02,2016-01-01T00:43:04.000,-73.927734375,40.807060241699219,2,-73.937034606933594,2,0,1,2,40.798061370849609,2016-01-01T00:39:34.000,0.3,0
N,0.5,14.3,0.5,1,13,3.32,2016-01-01T00:43:56.000,-73.954788208007812,40.734020233154297,2,-73.91998291015625,1,0,1,2,40.708240509033203,2016-01-01T00:29:11.000,0.3,0
N,0.5,43.3,0.5,1,35.5,11.26,2016-01-01T00:44:18.000,-73.98577880859375,40.668941497802734,2,-73.946189880371094,2,0,1,1,40.780982971191406,2016-01-01T00:13:11.000,0.3,6.5
N,0.5,13.3,0.5,1,12,3.24,2016-01-01T00:42:37.000,-73.986557006835938,40.703758239746094,2,-73.966705322265625,2,0,1,2,40.711177825927734,2016-01-01T00:30:51.000,0.3,0
N,0.5,9.8,0.5,1,8.5,1.83,2016-01-01T00:44:25.000,-73.88983154296875,40.862827301025391,2,-73.899345397949219,1,0,1,2,40.84088134765625,2016-01-01T00:36:05.000,0.3,0
N,0.5,27.3,0.5,1,24,6.79,2016-01-01T00:43:58.000,-73.952377319335938,40.824028015136719,2,-74.004119873046875,1,0,1,1,40.742771148681641,2016-01-01T00:21:49.000,0.3,2
N,0.5,10.38,0.5,1,7,1.36,2016-01-01T00:44:19.000,-73.95208740234375,40.716743469238281,2,-73.958213806152344,1,0,1,1,40.734073638916016,2016-01-01T00:36:43.000,0.3,2.08
N,0.5,21.3,0.5,1,18,4.83,2016-01-01T00:44:12.000,-73.893447875976563,40.748805999755859,2,-73.941108703613281,5,0,1,1,40.711181640625,2016-01-01T00:27:27.000,0.3,2
N,0.5,5.8,0.5,1,4.5,0.87,2016-01-01T00:44:07.000,-73.940391540527344,40.793292999267578,2,-73.947067260742187,1,0,1,2,40.78936767578125,2016-01-01T00:41:25.000,0.3,0
N,0.5,41.16,0.5,1,33,10.33,2016-01-01T00:44:22.000,-73.969444274902344,40.673244476318359,2,-73.951461791992188,1,0,1,1,40.780357360839844,2016-01-01T00:10:27.000,0.3,6.86
N,0.5,34.12,0.5,1,26,8.83,2016-01-01T00:44:27.000,-73.982994079589844,40.694969177246094,2,-73.961441040039063,1,0,1,1,40.779506683349609,2016-01-01T00:25:12.000,0.3,6.82
N,0.5,17.8,0.5,1,16.5,4.00,2016-01-01T00:43:55.000,-73.990631103515625,40.703376770019531,2,-74.00006103515625,1,0,1,2,40.728607177734375,2016-01-01T00:23:06.000,0.3,0
N,0.5,24.44,0.5,1,17.5,5.00,2016-01-01T00:44:27.000,-73.911903381347656,40.671810150146484,2,-73.962661743164063,1,0,1,1,40.70806884765625,2016-01-01T00:26:51.000,0.3,5.64
N,0.5,10.3,0.5,1,9,2.32,2016-01-01T00:43:01.000,-73.942138671875,40.754253387451172,2,-73.936210632324219,6,0,1,2,40.775466918945313,2016-01-01T00:34:33.000,0.3,0
N,0.5,13.56,0.5,1,10,1.95,2016-01-01T00:44:28.000,-73.881248474121094,40.748046875,2,-73.862205505371094,1,0,1,1,40.7337646484375,2016-01-01T00:31:43.000,0.3,2.26
